id,name,subtitle,start_setup,step_1,step_2,step_3
103,Arm Swings,"Pendulum swings, shoulders passive","Standing, feet slightly wider than hips, arms relaxed.",[A] Loose Stance (SETUP) Feet slightly wider than hips. Knees soft. Let arms hang completely relaxed from the shoulders.,"[B] Initiate Swing (MOMENTUM) Turn torso gently left — arms swing right passively, carried by momentum. Do not muscle the arms. They follow the body.",[C] Continuous Turn (FLOW) Turn right — arms swing left. Find a pendulum rhythm. Arms may tap your sides lightly. Increase range gradually as you warm up.
104,Trunk Twists,"Rotational swing, arms passive","Standing, feet shoulder-width apart, arms loose at sides.","[A] Loose Stance (SETUP) Feet shoulder-width, knees soft. Arms hang at sides. Spine tall but not stiff.","[B] Twist Right (ROTATE) Rotate torso to the right. Arms swing passively — left arm wraps across the front, right swings behind. Pivot on left ball of foot.","[C] Twist Left (ROTATE) Swing back through center and rotate left. Right arm wraps front, left swings behind. Find a loose, rhythmic pendulum pace."
105,Ballet Squats,"Wide stance pliés, toes turned out","Standing, feet wide, toes turned outward.","[A] Wide Stance (SETUP) Feet wider than hips, toes turned out to roughly 10 and 2 o'clock. Arms out at sides or hands at heart center.","[B] Plié Down (LOWER) Bend knees, tracking them over toes. Lower slowly — 3 seconds down. Keep torso upright, tailbone dropping straight down.",[C] Rise Up (LIFT) Press through the full foot to return to standing — 2 seconds up. Gently squeeze inner thighs at the top. Do not lock knees.
106,Tip Toe Arm Swings,Rising onto toes with overhead reach,"Standing, feet hip-width apart.",[A] Flat Foot (SETUP) Feet hip-width. Arms relaxed at sides. Soft knees. This is the low point of the movement.,[B] Rise & Reach (LIFT) Rise onto tiptoes as arms sweep upward and forward to shoulder height or overhead. Inhale on the rise.,[C] Lower & Swing (DRAIN) Lower heels as arms swing back down and behind. Exhale. The arm swing is passive — gravity-assisted. Continuous and flowing.
107,Doorway Pec Stretch,"Chest opening, shoulder mobility","Standing in a doorway, arms at 90° on the frame.","[A] Doorway Position (SETUP) Stand in a doorway. Place both forearms on the frame at 90° — elbows at shoulder height, upper arms parallel to floor.",[B] Step Through (STRETCH) Step one foot forward through the doorway. Let your body lean gently into the opening. Feel the chest and front shoulders open.,"[C] Hold & Breathe (RELEASE) Hold without forcing. Take 3 slow, deep breaths — each exhale, let the chest open a little more. Do not shrug shoulders."
108,Forward / Backward Arm Circles,"Full shoulder rotation, both directions","Standing, feet hip-width apart.",[A] Stand Tall (SETUP) Feet hip-width. Arms at sides. Shoulders relaxed down. Begin with small circles and gradually increase the range.,[B] Forward Circles (MOBILIZE) Both arms circle forward simultaneously — 15 slow rotations. Feel the shoulder joint moving through its full range.,[C] Backward Circles (MOBILIZE) Reverse direction — 15 slow rotations backward. Backward circles open the chest and counteract forward shoulder posture.
109,Dead Arms,Passive shoulder release,"Standing, hinged slightly forward at the hips.",[A] Slight Forward Lean (SETUP) Hinge slightly at the hips. Let both arms hang completely dead — no muscle engagement. Jaw loose.,[B] Gentle Sway (RELEASE) Let the arms sway passively as you shift your weight side to side. Do not initiate any movement with the shoulder muscles. Gravity only.,"[C] Small Circles (DECOMPRESS) Let the arms trace small passive circles — clockwise, then counter-clockwise. This gently tractions the shoulder joints."
110,Bent Over Back Shakes,"Spinal decompression, gravity assist","Standing, bent forward at the hips, upper body hanging down.","[A] Hinge Forward (SETUP) Hinge at the hips, knees soft. Let the upper body hang forward — arms dangling, head heavy. Let gravity decompress the spine.","[B] Gentle Shake (RELEASE) Softly shake the upper body — small, effortless oscillations. Let the spine wobble freely. This releases the erectors and multifidus.",[C] Side Sway (MOBILIZE) Add a gentle side-to-side sway. Let the arms swing. Stay loose. This is pure release — nothing to engage.
111,Golf Swings,Full rotation with follow-through,"Standing, feet shoulder-width, slight forward hinge at hips.",[A] Address Position (SETUP) Feet shoulder-width. Slight hip hinge. Arms hang loose. Imagine holding a club — but keep the grip soft.,"[B] Backswing (ROTATE) Rotate through the hips and torso to the right, letting the arms follow passively. Left heel can lift slightly. No forcing.",[C] Through Swing (RELEASE) Swing through to the left in one fluid motion. Arms follow the torso — do not lead with the arms. Alternate sides for 1 minute.
112,Twist the Waist,"Isolated hip rotation, upper body still","Standing, feet hip-width, hands on hips.",[A] Stand Tall (SETUP) Feet hip-width. Hands on hips. Eyes forward. Upper body completely still throughout — only the hips move.,"[B] Hip Rotation (ISOLATE) Rotate the pelvis to the right, then sweep left in a continuous figure-8 or side-to-side motion. Upper body stays square.",[C] Find Rhythm (MOBILIZE) Increase the range gradually. Feel the lumbar spine rotating freely. This is the movement that desk work robs you of most.
113,March Taps,"Alternating knee lifts, arms opposite","Standing upright, shoulders relaxed.",[A] Upright Stance (SETUP) Stand tall. Shoulders relaxed. This is a gentle march — not a high-knee drill. Pace is easy and rhythmic.,"[B] Lift & Tap (CIRCULATE) Lift right knee to comfortable height, tap with left hand. Lower. Lift left knee, tap with right hand. Alternate continuously.",[C] Add Arm Swing (FLOW) Let the opposite arm swing naturally with each step — just like walking. This cross-body pattern activates lymphatic flow bilaterally.
114,Wide Arm Step Backs,Lateral step with full arm opening,"Standing, feet together, arms at sides.","[A] Neutral Start (SETUP) Feet together, arms at sides. Soft knees. This movement is slow and deliberate — not aerobic.",[B] Step & Open (EXPAND) Step right foot back and wide as both arms sweep out to the sides and overhead — like opening a large book. Inhale.,"[C] Return & Close (FLOW) Step feet back together, arms return to sides. Exhale. Alternate sides. The arm sweep opens the chest and axillary lymph nodes."
115,Wall Pushups,"Upper body close, standing",Standing an arm's length from a wall.,"[A] Hands on Wall (SETUP) Stand an arm's length from the wall. Place hands at shoulder height, slightly wider than shoulder-width. Body in a straight line.",[B] Lower In (PUSH) Bend elbows and lean chest toward the wall. Keep the body rigid — no sagging hips. Elbows track at roughly 45° from the torso.,[C] Press Out (EXTEND) Push back to start. Exhale on the push. Move slowly and with control. This is not about speed — it's about reactivating the chest and shoulders.
201,Supine Knee Hugs,Gentle lumbar decompression,"Lying on your back, legs extended.",[A] Flat on Back (SETUP) Lie on your back. Let the body be completely heavy. Take two slow breaths before moving.,[B] Hug Both Knees (DECOMPRESS) Draw both knees to chest. Wrap arms around shins. Rock gently side to side 5–8 times. Release lower back.,
202,Supine Twist,"Both sides, 30s each","Lying on your back, knees bent and together.","[A] Knees to Chest (SETUP) Lie on back, knees bent and together. Arms out in a T. Shoulders heavy.",[B] Drop Right (ROTATE) Let both knees fall to the right. Turn gaze left if comfortable. Breathe and let gravity do the work for 30 seconds.,"[C] Drop Left (ROTATE) Return knees through center, drop left. Hold another 30 seconds. No forcing — just releasing."
203,Cat–Cow,Segmental spinal warm-up,"On all fours — hands under shoulders, knees under hips.","[A] Neutral Tabletop (SETUP) Hands under shoulders, knees under hips. Spine flat. Take one breath here before moving.","[B] Cat (FLEX) Round spine to ceiling, tuck pelvis and chin. Full exhale.","[C] Cow (EXT) Let belly drop, lift gaze and tailbone gently. Full inhale. 8–10 slow cycles."
204,Standing Hip Circles,"Hands on hips, full rotation","Standing, feet hip-width, hands on hips.",[A] Stand Tall (SETUP) Feet hip-width. Hands on hips. Soft knees. Eyes forward or closed.,"[B] Circle Right (MOBILIZE) Make slow, large circles with the pelvis — forward, right, back, left. 6 circles clockwise.",[C] Circle Left (MOBILIZE) Reverse direction. 6 circles counter-clockwise. Let the hips move freely without rushing.
205,Shoulder Rolls,"Forward then backward, slow","Standing or seated upright, arms relaxed at sides.",[A] Arms at Sides (SETUP) Stand or sit tall. Arms completely relaxed. Jaw soft.,"[B] Roll Forward (ANTERIOR) Shrug shoulders up toward ears, then roll them forward and down. 6 slow rolls.","[C] Roll Back (POSTERIOR) Reverse — shrug up, roll back and down. 6 rolls. Feel the shoulder blades move and the chest open."
206,Sun Breath,"Arms overhead with breath, 6 cycles","Standing, feet hip-width, arms at sides.",[A] Stand Grounded (SETUP) Feet hip-width. Arms at sides. Close the eyes. Feel the weight of the body through the soles of the feet.,[B] Inhale & Rise (EXPAND) Breathe in slowly for 4 counts as arms sweep out to the sides and overhead. Palms meet or stay wide.,[C] Exhale & Lower (GROUND) Breathe out for 6 counts as arms float back down. Feel the chest and ribcage expand on the inhale. 6 full cycles.
301,Legs Up the Wall,"Passive inversion, 2–3 minutes","Lying on your back, scooted close to a wall.","[A] Setup (SETUP) Sit sideways against the wall, then swing legs up. Hips as close to the wall as comfortable. Arms out at sides, palms up.",[B] Hold & Breathe (RESTORE) Let gravity drain the legs. Close the eyes. Breathe naturally. This posture reverses venous pooling and calms the nervous system.,
302,Reclined Butterfly,"Supine bound angle, hips open","Lying on your back, soles of feet together.",[A] Soles Together (SETUP) Lie on back. Bring the soles of your feet together and let knees fall wide. Place hands on belly or out at sides.,[B] Gravity Hold (RELEASE) Let the inner thighs and groin soften completely. Do not push. Hold 60–90s.,
303,Knees to Chest Rock,Gentle lumbar massage,"Lying on your back, knees hugged to chest.",[A] Hug Knees (SETUP) Lie on back. Hug both knees to chest. Interlock fingers over shins.,[B] Rock Side to Side (MASSAGE) Rock gently left and right. Let the lower back release against the floor. 10–15 slow rocks.,
304,Supine Twist,"Extended hold, both sides","Lying on your back, one knee drawn to chest.","[A] Setup (SETUP) Lie on back. Draw right knee to chest. Arms in a T, shoulders grounded.",[B] Cross Right (TWIST) Guide right knee across to the left with left hand. Turn gaze right. Hold for 45–60s.,[C] Cross Left (TWIST) Return through center. Draw left knee across right. Gaze left. Hold another 45–60s.
305,4-7-8 Breath,Parasympathetic activation,Seated comfortably or lying down.,"[A] Comfortable Position (SETUP) Lie flat or sit upright. Eyes closed. Place one hand on the chest, one on the belly.",[B] Inhale 4 (INHALE) Breathe in through the nose for 4 slow counts. Feel the belly rise before the chest.,"[C] Hold 7, Exhale 8 (EXHALE) Hold for 7 counts. Exhale completely through the mouth for 8 counts. Repeat 4–6 cycles."
401,Standing Chest Opener,Hands clasped behind back,Standing upright.,[A] Stand Tall (SETUP) Stand away from your chair. Feet hip-width. Interlace fingers behind your back.,"[B] Open & Lift (STRETCH) Straighten arms, draw shoulder blades together, lift hands slightly. Open chest toward ceiling. Hold 20–30s.",
402,Chin Tucks,Cervical retractions,"Seated upright in a chair, eyes level.",[A] Neutral Head (SETUP) Sit or stand tall. Eyes level. Shoulders relaxed.,[B] Retract (CERVICAL) Draw chin straight back — not down. Create a slight double chin. Hold 2s. 10 reps.,
403,Thoracic Rotations,"Seated, hands behind head","Seated in a chair, hands behind your head.",[A] Sit Tall (SETUP) Sit at edge of chair. Feet flat. Interlace hands behind head. Elbows wide. Spine long.,[B] Rotate Right (THORACIC) Rotate upper body to the right — elbows leading. Keep hips square. Hold 2s at end range.,"[C] Rotate Left (THORACIC) Return through center, rotate left. Equal range each side. The rotation comes from the mid-back, not the neck."
404,Standing Hip Flexor Stretch,"Kneeling lunge, 30s each side","Standing, about to step into a lunge.","[A] Half Kneel (SETUP) Kneel on right knee, left foot forward. Hips square. Hands on left thigh for support.",[B] Shift Forward (STRETCH) Gently shift weight forward until you feel a stretch in the right hip flexor. Keep torso upright. Hold 30s each side.,
405,Wrist & Forearm Release,"Both directions, 30s each","Standing or seated, one arm extended in front of you.","[A] Extend Arm (SETUP) Extend one arm forward, palm facing down. Use other hand to gently pull fingers back toward you.","[B] Flex Stretch (FOREARM) Hold 15–20s. Feel the forearm extensors lengthen. Reverse — palm up, pull fingers down. Hold 15–20s. Switch arms.",
406,Neck Side Tilts,"Gravity only, 20s each side","Seated or standing upright, shoulders relaxed.",[A] Sit Tall (SETUP) Sit at edge of chair. Spine long. Shoulders down and relaxed.,[B] Drop Right (STRETCH) Let right ear fall toward right shoulder. Gravity only — no forcing. Left shoulder stays grounded. 20s.,[C] Drop Left (STRETCH) Return through center. Drop left ear. 20s. Return slowly.
501,Chin Tucks,"Cervical retraction, 10 reps","Seated upright, eyes level with the horizon.",[A] Sit or Stand Tall (SETUP) Eyes level with horizon. Shoulders relaxed down. Jaw soft. This is the single most important correction for forward head posture.,[B] Retract (CERVICAL) Draw chin straight back — not down. Create a slight double chin. Hold 2s. Feel a stretch at the base of the skull. Release slowly. 10 reps.,
502,Neck Side Tilt,"Gravity only, 30s each side","Seated upright, shoulders relaxed and level.",[A] Sit Tall (SETUP) Sit or stand. Spine long. Shoulders relaxed down away from ears. Eyes forward.,[B] Right Ear Down (STRETCH) Let the right ear fall toward the right shoulder. Do not force — use gravity only. Hold 30s. Left shoulder stays down.,"[C] Left Ear Down (STRETCH) Return through center, drop left ear. Hold 30s. For deeper release, rest hand lightly on top of head — do not pull."
503,Levator Scapulae Stretch,"Corner neck stretch, 30s each","Seated, one hand anchoring the shoulder down.",[A] Turn & Tilt (SETUP) Turn head 45° to the right and tilt chin toward the right armpit. Feel the stretch from the base of the skull toward the left shoulder blade.,"[B] Add Weight (DEEPEN) Rest the right hand gently on the back of the head — do not pull. Hold 30s. Switch sides. This targets the levator scapulae, the most screen-tension muscle.",
504,Upper Trap Release,"Seated hand hold, 30s each","Seated, one hand holding the seat edge for traction.",[A] Anchor Shoulder (SETUP) Sit on right hand to anchor the right shoulder down. Sit tall. This prevents the shoulder from shrugging up and reduces the stretch.,"[B] Lean Left (STRETCH) With right shoulder anchored, slowly tilt the head to the left and slightly forward. Feel the right upper trap lengthen. Hold 30s. Switch.",
505,Thread the Needle,Thoracic rotation from tabletop,"On all fours — hands under shoulders, knees under hips.","[A] Tabletop (SETUP) Hands under shoulders, knees under hips. Spine neutral. Take a breath before moving.",[B] Thread Right (ROTATE) Slide right arm along the floor under the left arm. Right shoulder and ear rest on floor. Hold 30s. Feel the mid-back open.,[C] Thread Left (ROTATE) Return to tabletop. Left arm threads under right. Hold 30s each side. This releases the thoracic spine that screen time locks up.
506,Eagle Arms,"Shoulder blade separation, 30s each","Seated or standing upright, arms at your sides.",[A] Cross Arms (SETUP) Sit or stand tall. Cross right arm over left at the elbows. Wrap forearms and try to bring palms together.,[B] Lift & Hold (STRETCH) Lift elbows to shoulder height. Feel the space between the shoulder blades open. Hold 30s. Switch arm cross. Targets the rhomboids.,
507,Chest Opener with Clasp,"Behind-back retraction, 30s","Standing upright, hands clasped behind your back.",[A] Clasp Behind (SETUP) Stand tall. Interlace fingers behind the back. Straighten arms. Draw shoulder blades together gently.,[B] Lift & Open (EXPAND) Lift clasped hands slightly away from the body. Open the chest. Chin slightly up. Hold 30s. This directly counters the forward curl of screen posture.,
601,90/90 Hip Stretch,"Both sides, 60s each","Seated on the floor, both knees bent at 90°.","[A] Sit to Floor (SETUP) Sit on the floor. Right leg bent in front at 90°, knee and ankle on the ground. Left leg bent behind at 90°. Both shins parallel.",[B] Sit Tall Over Front Leg (INTERNAL) Sit upright over the front (right) shin. Feel the external rotation of the right hip. Press the right knee gently toward the floor. Hold 60s.,[C] Hinge Forward (DEEPEN) Hinge at the hips and walk hands forward over the front shin. Keep spine long — do not round. Hold 30s additional. Switch sides.
602,Kneeling Hip Flexor Stretch,"Low lunge, 60s each side","In a half-kneeling lunge, one knee on the floor.","[A] Half Kneel (SETUP) Kneel on right knee, left foot forward. Hips square. Stack left knee over left ankle. Place hands on left thigh.",[B] Shift & Tuck (STRETCH) Shift hips forward until you feel a deep stretch in the right hip flexor and front of the right thigh. Tuck the pelvis slightly under — do not arch the lower back.,[C] Arm Reach (DEEPEN) Reach right arm overhead and lean slightly left. This lengthens the hip flexor through the full chain to the ribcage. Hold 60s. Switch sides.
603,Pigeon Pose,"Supported, 90s each side","On the floor, front shin angled across the body.","[A] Setup (SETUP) From tabletop, slide right knee forward behind right wrist. Extend left leg straight back. Right ankle moves toward left hip — the sharper the angle, the more intense. Important: the stretch should always be felt in the outer hip, never in the knee. If you feel any sensation in the knee joint, back the ankle closer to your body.",[B] Square Hips (ALIGN) Place a folded blanket or block under the right glute if the hip doesn't reach the floor. Hips stay as square as possible — do not let the pelvis tilt to one side.,[C] Fold Forward (RELEASE) Walk hands forward and lower chest toward the floor. Rest on forearms or forehead. Let the right hip surrender completely. Breathe into the outer right hip. Hold 90s.
604,Supine Figure Four,"Piriformis release, 60s each","Lying on your back, knees bent, feet flat.","[A] Setup (SETUP) Lie on back, knees bent, feet flat. Cross right ankle over left knee. Flex the right foot to protect the knee joint.",[B] Draw In (STRETCH) Clasp hands behind left thigh and draw both legs toward chest. Feel the stretch deep in the right outer hip and glute. This targets the piriformis — the primary sciatic nerve compressor.,[C] Rock Gently (RELEASE) Rock slowly left and right to find the deepest point of tension. Hold 60s. Switch sides. Do not pull aggressively — let the muscle release on its own timeline.
605,Butterfly Stretch,"Soles together, gravity hold","Seated on the floor, soles of feet together.","[A] Sit Tall (SETUP) Sit on the floor. Bring soles of feet together, letting knees fall wide. Hold feet with both hands. Sit on a folded blanket if the lower back rounds.",[B] Let Knees Drop (ADDUCTORS) Do not press the knees down. Let gravity do the work. The inner thighs and groin will release over time — not through force. Hold 60s.,"[C] Hinge Forward (DEEPEN) Hinge forward at the hips — spine long, not rounded. Walk hands forward. Feel the inner groin deepen. Hold 30s. Return upright slowly."
606,Lateral Hip Opener,"Side-lying stretch, 45s each","Lying on your side, legs stacked.","[A] Side Lie (SETUP) Lie on your right side. Right arm extended, right ear resting on it. Stack hips and shoulders. Both knees bent at 90°.","[B] Open Top Knee (ABDUCTOR) Keeping feet together, lift the left knee toward the ceiling like a clamshell opening. Do not let the pelvis roll back. Hold at the top 2s.","[C] Hip Circle (MOBILIZE) From open, draw a slow circle with the left knee — forward, down, back, up. 5 circles each direction. Feel the femoral head moving freely in the socket. Switch sides."
607,Standing Hip Circles,"Full rotation, both directions","Standing, feet hip-width, hands on hips.",[A] Stand Tall (SETUP) Feet hip-width. Hands on hips. Soft knees. Eyes forward or closed. This is the integration movement — done last to bring range into a standing pattern.,"[B] Slow Circles (MOBILIZE) Make large, slow circles with the pelvis — forward, right, back, left. Exaggerate the range in each direction. 8 circles clockwise.","[C] Reverse (MOBILIZE) 8 circles counter-clockwise. Move deliberately through any stiff points rather than skipping past them. The goal is a smooth, continuous arc."
701,Knee Hugs,"Lumbar decompression, 60s",Lying on your back.,[A] Flat on Back (SETUP) Lie on your back. Let the whole body be heavy. Take two slow breaths before moving — this releases baseline tension before you begin.,[B] Hug Both Knees (DECOMPRESS) Draw both knees to chest. Wrap arms around shins. Rock gently side to side. Feel the lower back lengthen and release against the floor.,[C] Hold Still (RELEASE) Find the position of most ease and hold completely still. Breathe into the lower back. Feel the lumbar vertebrae gently separate with each inhale. 60s total.
702,Supine Pelvic Tilts,Supine posterior/anterior tilt,"Lying on your back, knees bent, feet flat.",[A] Lie on Back (SETUP) Small natural arch in lower back — this is neutral. Arms flat at sides. Do not flatten the back before you begin.,[B] Posterior Tilt (CORE) Gently press the lower back into the floor by engaging the deep abdominals. Hold 2s. The movement is subtle — this is not a crunch.,[C] Return to Neutral (RELEASE) Let the arch return. Move slowly and smoothly between positions. This re-educates the muscles that stabilise the lumbar spine.
